Nombre;Apellidos;Curso;Asignatura;Nota
Juan;Gomez Perez;1ºBACH;Matemáticas;8.2
Juan;Gomez Perez;1ºBACH;Lengua;7.5
Juan;Gomez Perez;1ºBACH;Física;9.0
Laura;Martinez Sanchez;2ºESO;Biología;7.7
Laura;Martinez Sanchez;2ºESO;Inglés;6.3
Laura;Martinez Sanchez;2ºESO;Geografía;8.0
Laura;Martinez Sanchez;2ºESO;Educación Física;9.2
Ana;Lopez Rodriguez;3ºPRIM;Ciencias Naturales;6.8
Ana;Lopez Rodriguez;3ºPRIM;Arte;8.1
Ana;Lopez Rodriguez;3ºPRIM;Música;7.4
Ana;Lopez Rodriguez;3ºPRIM;Matemáticas;9.5
Pablo;Serrano Ruiz;4ºDAM;Programación;7.2
Pablo;Serrano Ruiz;4ºDAM;Base de Datos;8.6
Pablo;Serrano Ruiz;4ºDAM;Redes;9.0
Pablo;Serrano Ruiz;4ºDAM;Inteligencia Artificial;8.4
Marcos;Garcia Lopez;1ºFP;Dibujo Técnico;8.0
Marcos;Garcia Lopez;1ºFP;Física Aplicada;7.1
Marcos;Garcia Lopez;1ºFP;Redes;9.2
Marcos;Garcia Lopez;1ºFP;Matemáticas;9.8
